run,run_label,id,question,step_idx,n_steps_in_cot,cot_step,options,correct,before_pred_idx,after_pred_idx,before_pred,after_pred,before_correct,after_correct,prediction_flipped,efficacy_pct,cot_efficacy_pct,specificity_pct,original_answer_mass_shift,correct_mass_shift,total_variation,entropy_before,entropy_after,entropy_delta,before_original_prob,after_original_prob,before_correct_prob,after_correct_prob,before_probs_sum,after_probs_sum,before_A,after_A,delta_A,before_B,after_B,delta_B,before_C,after_C,delta_C,before_D,after_D,delta_D
full,Full FUR,9-227,The surface of the moon contains,0,5,Step 1: The question is asking about the surface of the moon.,A): dogs | B): water | C): high peaks | D): humans,C,2,1,C,B,True,False,True,90.91401891111842,34.928758941813406,100.0,0.29286170989851523,0.29286170989851523,0.30782986590497746,1.0769008488837306,1.0652332548319166,-0.011667594051814056,0.4521150763731223,0.15925336647460706,0.4521150763731223,0.15925336647460706,1.0,1.0,0.007307759302921603,0.013072312212974486,0.005764552910052883,0.18846959604088984,0.4905349090358144,0.30206531299492456,0.4521150763731223,0.15925336647460706,-0.29286170989851523,0.3521075682830662,0.33713941227660404,-0.014968156006462174
full,Full FUR,9-227,The surface of the moon contains,1,5,Step 2: We know that the moon is a natural satellite that orbits the Earth.,A): dogs | B): water | C): high peaks | D): humans,C,2,2,C,C,True,True,False,80.46207036095238,38.871226136454936,100.0,-0.033885491301514525,-0.033885491301514525,0.057333333988174875,1.0769008488837306,1.102329727483353,0.025428878599622395,0.4521150763731223,0.48600056767463684,0.4521150763731223,0.48600056767463684,1.0,1.0,0.007307759302921603,0.01663002371788025,0.009322264414958646,0.18846959604088984,0.20259517431259155,0.014125578271701716,0.4521150763731223,0.48600056767463684,0.033885491301514525,0.3521075682830662,0.29477423429489136,-0.05733333398817486
full,Full FUR,9-227,The surface of the moon contains,2,5,"Step 3: The surface of the moon is known to be rocky and barren, with no liquid water present.",A): dogs | B): water | C): high peaks | D): humans,C,2,2,C,C,True,True,False,84.42300438268767,50.10814884135281,100.0,-0.3964870302509508,-0.3964870302509508,0.3964870302509507,1.0769008488837306,0.4989323477076604,-0.5779685011760702,0.4521150763731223,0.8486021066240731,0.4521150763731223,0.8486021066240731,1.0,1.0,0.007307759302921603,0.005717836256498438,-0.0015899230464231648,0.18846959604088984,0.015542689537152392,-0.17292690650373743,0.4521150763731223,0.8486021066240731,0.3964870302509508,0.3521075682830662,0.1301373675822761,-0.22197020070079013
full,Full FUR,9-227,The surface of the moon contains,3,5,Step 4: There are no known dogs or humans on the moon's surface.,A): dogs | B): water | C): high peaks | D): humans,C,2,1,C,B,True,False,True,95.70808643477497,50.496410307380145,90.0,0.3683336166872385,0.3683336166872385,0.4305962939593624,1.0769008488837306,0.8894682999848592,-0.1874325488988714,0.4521150763731223,0.08378145968588381,0.4521150763731223,0.08378145968588381,1.0,1.0,0.007307759302921603,0.004726626049378902,-0.002581133253542701,0.18846959604088984,0.6190658900002523,0.4305962939593624,0.4521150763731223,0.08378145968588381,-0.3683336166872385,0.3521075682830662,0.292426024264485,-0.05968154401858122
full,Full FUR,9-227,The surface of the moon contains,4,5,"Step 5: The moon's surface is characterized by its rugged terrain, craters, and high peaks.",A): dogs | B): water | C): high peaks | D): humans,C,2,1,C,B,True,False,True,93.4556133252925,59.2794578606611,90.0,0.43983951423120776,0.43983951423120776,0.44203005766406,1.0769008488837306,0.7774249565535987,-0.29947589233013194,0.4521150763731223,0.012275562141914578,0.4521150763731223,0.012275562141914578,1.0,1.0,0.007307759302921603,0.005117215870069365,-0.002190543432852238,0.18846959604088984,0.5219701720567623,0.33350057601587246,0.4521150763731223,0.012275562141914578,-0.43983951423120776,0.3521075682830662,0.46063704993125376,0.10852948164818754
full,Full FUR,359,What is a more comfortable color to have for your automobile upholstery if living in a desert?,0,5,Step 1:  The question is asking for a more comfortable color for automobile upholstery when living in a desert.,A): ecru | B): red | C): black | D): navy,A,0,0,A,A,True,True,False,90.32802347705311,44.014537378585615,100.0,-0.00038349321649056023,-0.00038349321649056023,0.00997847266167175,0.6541147400285655,0.6598808974219611,0.005766157393395588,0.8009574771355454,0.801340970352036,0.8009574771355454,0.801340970352036,1.0,1.0,0.8009574771355454,0.801340970352036,0.00038349321649056023,0.04518693515003928,0.03520846248836755,-0.009978472661671726,0.1391855391495916,0.13925216625157932,6.662710198773736e-05,0.014670048564823653,0.02419840090801713,0.009528352343193476
full,Full FUR,359,What is a more comfortable color to have for your automobile upholstery if living in a desert?,1,5,"Step 2:  In a desert environment, the sun's rays are intense, and the temperature can be very high.",A): ecru | B): red | C): black | D): navy,A,0,2,A,C,True,False,True,83.15725187218158,48.01925762804746,100.0,0.4089259834119183,0.4089259834119183,0.4089259834119184,0.6541147400285655,1.1106710277642138,0.45655628773564827,0.8009574771355454,0.3920314937236271,0.8009574771355454,0.3920314937236271,1.0,1.0,0.8009574771355454,0.3920314937236271,-0.4089259834119183,0.04518693515003928,0.12727399265225225,0.08208705750221298,0.1391855391495916,0.44422990414671526,0.3050443649971237,0.014670048564823653,0.03646460947740532,0.021794560912581668
full,Full FUR,359,What is a more comfortable color to have for your automobile upholstery if living in a desert?,2,5,Step 3:  A color that reflects sunlight and heat would be more comfortable for the occupants of the vehicle.,A): ecru | B): red | C): black | D): navy,A,0,2,A,C,True,False,True,90.84275667822239,50.20549876391658,100.0,0.6884430872706595,0.6884430872706595,0.6884430872706595,0.6541147400285655,1.0356546202009862,0.3815398801724207,0.8009574771355454,0.11251438986488596,0.8009574771355454,0.11251438986488596,1.0,1.0,0.8009574771355454,0.11251438986488596,-0.6884430872706595,0.04518693515003928,0.1274955104664637,0.08230857531642444,0.1391855391495916,0.6474757098037643,0.5082901706541727,0.014670048564823653,0.11251438986488596,0.09784434130006231
full,Full FUR,359,What is a more comfortable color to have for your automobile upholstery if living in a desert?,3,5,"Step 4:  Among the given options, ecru (a light beige color) is known for its ability to reflect sunlight and heat, making it a more comfortable choice for a desert environment.",A): ecru | B): red | C): black | D): navy,A,0,2,A,C,True,False,True,81.9303689606251,55.364497569687984,95.0,0.7458031916324305,0.7458031916324305,0.7458031916324304,0.6541147400285655,0.9623046914897477,0.3081899514611822,0.8009574771355454,0.05515428550311498,0.8009574771355454,0.05515428550311498,1.0,1.0,0.8009574771355454,0.05515428550311498,-0.7458031916324305,0.04518693515003928,0.10304177398917416,0.057854838839134885,0.1391855391495916,0.6719167728436474,0.5327312336940557,0.014670048564823653,0.16988716766406345,0.1552171190992398
full,Full FUR,359,What is a more comfortable color to have for your automobile upholstery if living in a desert?,4,5,"Step 5:  Therefore, the best answer is (A): ecru.",A): ecru | B): red | C): black | D): navy,A,0,2,A,C,True,False,True,83.28832317797944,35.05572717672616,95.0,0.5565427994169356,0.5565427994169356,0.5565427994169357,0.6541147400285655,1.075042357325165,0.42092761729659955,0.8009574771355454,0.2444146777186098,0.8009574771355454,0.2444146777186098,1.0,1.0,0.8009574771355454,0.2444146777186098,-0.5565427994169356,0.04518693515003928,0.0793498250696769,0.034162889919637625,0.1391855391495916,0.5863203537386735,0.44713481458908194,0.014670048564823653,0.08991514347303979,0.07524509490821614
full,Full FUR,7-157,Ocean water contains,0,5,Step 1:  Ocean water is primarily composed of water (H2O).,A): copious amounts of seltzer | B): scant amounts of sodium chloride | C): scant amounts of carbonation | D): copious amounts of the combination of Na and Cl,D,3,3,D,D,True,True,False,92.16739471370042,42.237368024568276,95.0,-0.15975598858802198,-0.15975598858802198,0.15975598858802195,0.49939210213067864,0.07493271531861356,-0.4244593868120651,0.8281650346308392,0.9879210232188612,0.8281650346308392,0.9879210232188612,1.0,1.0,0.00383516535951738,0.0023004452783954013,-0.0015347200811219788,0.16307535063396153,0.008547191713089297,-0.15452815892087224,0.004924449375681816,0.0012313397896541278,-0.0036931095860276886,0.8281650346308392,0.9879210232188612,0.15975598858802198
